url,snippet
https://vimeo.com/privacy,":\""$undefined\"",\""icon\"":\""$undefined\""},\""children\"":[\""$\"",\""$L2b\"",null,{\""href\"":\""https://edpo.com/swiss-data-request\"",\""insights\"":{\""type\"":\""link_click\"",\""link … "
https://vimeo.com/privacy/us-state-privacy," … data-[state=open]:ring-tint-hover w-full grow py-1\"",\""children\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""children … "
https://vimeo.com/privacy/us-state-privacy," … fallback\"":null,\""children\"":[\""$\"",\""$L29\"",null,{\""privacyPolicy\"":\""https://vimeo.com/legal/privacy\""}]}],[\""$\"",\""script\"",null,{\""suppressHydrationWarning\"":true,\""data-cfasync\"":\""false … "
https://vimeo.com/privacy/us-state-privacy," … children\"":[\""$L33\"",\""$L34\"",\""$L35\"",\""$L36\""]}]}]]}]\n2a:null\n""]) self.__next_f.push([1,""27:[[\""$\"",\""aside\"",null,{\""data-testid … "
https://vimeo.com/privacy/us-state-privacy," … corners_\u0026]:rounded-3xl\"",\""children\"":[[\""$\"",\""div\"",null,{\""className\"":\""px-5 *:my-4\"",\""children\"":[false,false,false]}],[\""$\"",\""$L37\"",null … "
https://vimeo.com/privacy/us-state-privacy, … default:data-[state=open]:text-primary links-default:tint:hover:text-tint-strong links-default:tint:data-[state … 
https://vimeo.com/privacy/us-state-privacy," … children\"":[\""$\"",\""strong\"",\""mark\"",{\""className\"":\""font-bold\"",\""children\"":\""CPA\""}]}],[\""$\"",\""$3\"",\""8\"",{\""children\"":\""”), Connecticut’s Act Concerning Personal Data Privacy … "
https://vimeo.com/privacy/us-state-privacy," … font-bold\"",\""children\"":\""Section 1\""}]}],[\""$\"",\""$3\"",\""1\"",{\""children\"":\"" of this Notice provides notice of our data practices, including … "
https://vimeo.com/privacy/us-state-privacy," … self-start\"",\""children\"":[[\""$\"",\""$3\"",\""DDm8qlutmQiT\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""This Notice does not apply to data that is … "
https://vimeo.com/privacy/us-state-privacy," … ml-6 pr-2\"",\""children\"":[\""$\"",\""a\"",null,{\""href\"":\""#id-1.-description-of-data-practices\"",\""aria-label\"":\""Direct link … "
https://vimeo.com/privacy/us-state-privacy," … justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""gqwBN6yQ0Ebv\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""The description of our data practices in this … "
https://vimeo.com/privacy/us-state-privacy," … self-start\"",\""children\"":[[\""$\"",\""$3\"",\""9TA3KLcaskAM\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""*considered Sensitive PI or Sensitive Data under certain of … "
https://vimeo.com/privacy/us-state-privacy," … children\"":[[\""$\"",\""$3\"",\""6jonqTjrKhsT\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""As permitted by applicable law, we do not treat deidentified data … "
https://vimeo.com/privacy/us-state-privacy," … text-start justify-self-start\"",\""children\"":[[\""$\"",\""$3\"",\""XEXmZ4Ppd9Rk\"",{\""children\"":[[\""$\"",\""$3\"",\""0\"",{\""children\"":\""Because there are so many different … "
